Pfam ID,Pfam Name,EC Class
pfam00053,Laminin_EGF - Laminin EGF domain,
pfam00054,Laminin_G_1 - Laminin G domain,
pfam00055,Laminin_N - Laminin N-terminal (Domain VI),
pfam00056,"Ldh_1_N - lactate/malate dehydrogenase, NAD binding domain",
pfam00057,Ldl_recept_a - Low-density lipoprotein receptor domain class A,
pfam00058,Ldl_recept_b - Low-density lipoprotein receptor repeat class B,
pfam00059,Lectin_C - Lectin C-type domain,
pfam00060,Lig_chan - Ligand-gated ion channel,
pfam00061,Lipocalin - Lipocalin / cytosolic fatty-acid binding protein family,
pfam00062,Lys - C-type lysozyme/alpha-lactalbumin family,
pfam00063,Myosin_head - Myosin head (motor domain),
pfam00064,Neur - Neuraminidase,
pfam00066,Notch - LNR domain,
pfam00067,p450 - Cytochrome P450,
pfam00068,Phospholip_A2_1 - Phospholipase A2,
pfam00069,Pkinase - Protein kinase domain,
pfam00070,Pyr_redox - Pyridine nucleotide-disulphide oxidoreductase,
pfam00071,Ras - Ras family,
pfam00072,Response_reg - Response regulator receiver domain,
pfam00073,Rhv - picornavirus capsid protein,
pfam00074,RnaseA - Pancreatic ribonuclease,
pfam00075,RNase_H - RNase H,
pfam00076,"RRM_1 - RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",
pfam00077,RVP - Retroviral aspartyl protease,
pfam00078,RVT_1 - Reverse transcriptase (RNA-dependent DNA polymerase),
pfam00079,Serpin - Serpin (serine protease inhibitor),
pfam00080,Sod_Cu - Copper/zinc superoxide dismutase (SODC),
pfam00081,"Sod_Fe_N - Iron/manganese superoxide dismutases, alpha-hairpin domain",
pfam00082,Peptidase_S8 - Subtilase family,
pfam00083,Sugar_tr - Sugar (and other) transporter,
pfam00084,Sushi - Sushi repeat (SCR repeat),
pfam00085,Thioredoxin - Thioredoxin,
pfam00086,Thyroglobulin_1 - Thyroglobulin type-1 repeat,
pfam00087,Toxin_1 - Snake toxin,
pfam00088,Trefoil - Trefoil (P-type) domain,
pfam00089,Trypsin - Trypsin,
pfam00090,TSP_1 - Thrombospondin type 1 domain,
pfam00091,"Tubulin - Tubulin/FtsZ family, GTPase domain",
pfam00092,VWA - von Willebrand factor type A domain,
pfam00093,VWC - von Willebrand factor type C domain,
pfam00094,VWD - von Willebrand factor type D domain,
pfam00095,WAP - WAP-type (Whey Acidic Protein) 'four-disulfide core',
pfam00096,"zf-C2H2 - Zinc finger, C2H2 type",
pfam00097,"zf-C3HC4 - Zinc finger, C3HC4 type (RING finger)",
pfam00098,zf-CCHC - Zinc knuckle,
pfam00100,Zona_pellucida - Zona pellucida-like domain,
pfam00101,"RuBisCO_small - Ribulose bisphosphate carboxylase, small chain",
pfam00102,Y_phosphatase - Protein-tyrosine phosphatase,
pfam00103,Hormone_1 - Somatotropin hormone family,
pfam00104,Hormone_recep - Ligand-binding domain of nuclear hormone receptor,
pfam00105,"zf-C4 - Zinc finger, C4 type (two domains)",
pfam00106,adh_short - short chain dehydrogenase,
pfam00107,ADH_zinc_N - Zinc-binding dehydrogenase,
pfam00108,"Thiolase_N - Thiolase, N-terminal domain",
pfam00109,"ketoacyl-synt - Beta-ketoacyl synthase, N-terminal domain",
pfam00110,wnt - wnt family,
pfam00111,Fer2 - 2Fe-2S iron-sulfur cluster binding domain,
pfam00112,Peptidase_C1 - Papain family cysteine protease,
pfam00113,"Enolase_C - Enolase, C-terminal TIM barrel domain",
pfam00114,Pilin - Pilin (bacterial filament),
pfam00115,COX1 - Cytochrome C and Quinol oxidase polypeptide I,
pfam00116,"COX2 - Cytochrome C oxidase subunit II, periplasmic domain",
pfam00117,GATase - Glutamine amidotransferase class-I,
pfam00118,Cpn60_TCP1 - TCP-1/cpn60 chaperonin family,
pfam00119,ATP-synt_A - ATP synthase A chain,
pfam00120,"Gln-synt_C - Glutamine synthetase, catalytic domain",
pfam00121,TIM - Triosephosphate isomerase,
pfam00122,E1-E2_ATPase - E1-E2 ATPase,
pfam00123,Hormone_2 - Peptide hormone,
pfam00124,Photo_RC - Photosynthetic reaction centre protein,
pfam00125,Histone - Core histone H2A/H2B/H3/H4,
pfam00126,"HTH_1 - Bacterial regulatory helix-turn-helix protein, lysR family",
pfam00127,"Copper-bind - Copper binding proteins, plastocyanin/azurin family",
pfam00128,"Alpha-amylase - Alpha amylase, catalytic domain",
pfam00129,"MHC_I - Class I Histocompatibility antigen, domains alpha 1 and 2",
pfam00130,C1_1 - Phorbol esters/diacylglycerol binding domain (C1 domain),
pfam00131,Metallothio - Metallothionein,
pfam00132,Hexapep - Bacterial transferase hexapeptide (six repeats),
pfam00133,"tRNA-synt_1 - tRNA synthetases class I (I, L, M and V)",
pfam00134,"Cyclin_N - Cyclin, N-terminal domain",
pfam00135,COesterase - Carboxylesterase family,
pfam00136,DNA_pol_B - DNA polymerase family B,
pfam00137,ATP-synt_C - ATP synthase subunit C,
pfam00139,Lectin_legB - Legume lectin domain,
pfam00140,"Sigma70_r1_2 - Sigma-70 factor, region 1.2",
pfam00141,peroxidase - Peroxidase,
pfam00142,"Fer4_NifH - 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",
pfam00143,Interferon - Interferon alpha/beta domain,
pfam00144,Beta-lactamase - Beta-lactamase,
pfam00145,DNA_methylase - C-5 cytosine-specific DNA methylase,
pfam00146,NADHdh - NADH dehydrogenase,
pfam00147,"Fibrinogen_C - Fibrinogen beta and gamma chains, C-terminal globular domain",
pfam00148,Oxidored_nitro - Nitrogenase component 1 type Oxidoreductase,
pfam00149,Metallophos - Calcineurin-like phosphoesterase,
pfam00150,Cellulase - Cellulase (glycosyl hydrolase family 5),
pfam00151,Lipase - Lipase,
pfam00152,"tRNA-synt_2 - tRNA synthetases class II (D, K and N)",
pfam00153,Mito_carr - Mitochondrial carrier protein,
pfam00154,RecA - recA bacterial DNA recombination protein,
pfam00155,Aminotran_1_2 - Aminotransferase class I and II,
pfam00156,Pribosyltran - Phosphoribosyl transferase domain,
pfam00157,Pou - Pou domain - N-terminal to homeobox domain,
pfam00158,Sigma54_activat - Sigma-54 interaction domain,
pfam00159,Hormone_3 - Pancreatic hormone peptide,
pfam00160,Pro_isomerase - Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,
pfam00161,RIP - Ribosome inactivating protein,
pfam00162,PGK - Phosphoglycerate kinase,
pfam00163,Ribosomal_S4 - Ribosomal protein S4/S9 N-terminal domain,
pfam00164,Ribosom_S12_S23 - Ribosomal protein S12/S23,
pfam00165,"HTH_AraC - Bacterial regulatory helix-turn-helix proteins, AraC family",
pfam00166,Cpn10 - Chaperonin 10 Kd subunit,
pfam00167,FGF - Fibroblast growth factor,
pfam00168,C2 - C2 domain,
pfam00169,PH - PH domain,
pfam00170,bZIP_1 - bZIP transcription factor,
pfam00171,Aldedh - Aldehyde dehydrogenase family,
pfam00172,Zn_clus - Fungal Zn(2)-Cys(6) binuclear cluster domain,
pfam00173,Cyt-b5 - Cytochrome b5-like Heme/Steroid binding domain,
pfam00174,Oxidored_molyb - Oxidoreductase molybdopterin binding domain,
pfam00175,NAD_binding_1 - Oxidoreductase NAD-binding domain,
pfam00176,SNF2_N - SNF2 family N-terminal domain,
pfam00177,Ribosomal_S7 - Ribosomal protein S7p/S5e,
pfam00178,Ets - Ets-domain,
pfam00179,UQ_con - Ubiquitin-conjugating enzyme,
pfam00180,Iso_dh - Isocitrate/isopropylmalate dehydrogenase,
pfam00181,"Ribosomal_L2 - Ribosomal Proteins L2, RNA binding domain",
pfam00182,Glyco_hydro_19 - Chitinase class I,
pfam00183,HSP90 - Hsp90 protein,
pfam00184,"Hormone_5 - Neurohypophysial hormones, C-terminal Domain",
pfam00185,"OTCace - Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain",
pfam00186,DHFR_1 - Dihydrofolate reductase,
pfam00187,Chitin_bind_1 - Chitin recognition protein,
pfam00188,CAP - Cysteine-rich secretory protein family,
pfam00189,"Ribosomal_S3_C - Ribosomal protein S3, C-terminal domain",
pfam00190,Cupin_1 - Cupin,
pfam00191,Annexin - Annexin,
pfam00193,Xlink - Extracellular link domain,
pfam00194,Carb_anhydrase - Eukaryotic-type carbonic anhydrase,
pfam00195,"Chal_sti_synt_N - Chalcone and stilbene synthases, N-terminal domain",
pfam00196,"GerE - Bacterial regulatory proteins, luxR family",
pfam00197,Kunitz_legume - Trypsin and protease inhibitor,
pfam00198,2-oxoacid_dh - 2-oxoacid dehydrogenases acyltransferase (catalytic domain),
pfam00199,Catalase - Catalase,
pfam00200,Disintegrin - Disintegrin,
pfam00201,UDPGT - UDP-glucoronosyl and UDP-glucosyl transferase,
pfam00202,Aminotran_3 - Aminotransferase class-III,
pfam00203,Ribosomal_S19 - Ribosomal protein S19,
pfam00204,DNA_gyraseB - DNA gyrase B,
pfam00205,"TPP_enzyme_M - Thiamine pyrophosphate enzyme, central domain",
pfam00206,Lyase_1 - Lyase,
pfam00207,A2M - Alpha-2-macroglobulin family,
pfam00208,ELFV_dehydrog - Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,
pfam00209,SNF - Sodium:neurotransmitter symporter family,
pfam00210,Ferritin - Ferritin-like domain,
pfam00211,Guanylate_cyc - Adenylate and Guanylate cyclase catalytic domain,
pfam00212,ANP - Atrial natriuretic peptide,
pfam00213,OSCP - ATP synthase delta (OSCP) subunit,
pfam00214,Calc_CGRP_IAPP - Calcitonin / CGRP / IAPP family,
pfam00215,OMPdecase - Orotidine 5'-phosphate decarboxylase / HUMPS family,
pfam00216,Bac_DNA_binding - Bacterial DNA-binding protein,
pfam00217,"ATP-gua_Ptrans - ATP:guanido phosphotransferase, C-terminal catalytic domain",
pfam00218,IGPS - Indole-3-glycerol phosphate synthase,
pfam00219,IGFBP - Insulin-like growth factor binding protein,
pfam00220,"Hormone_4 - Neurohypophysial hormones, N-terminal Domain",
pfam00221,Lyase_aromatic - Aromatic amino acid lyase,
pfam00223,PsaA_PsaB - Photosystem I psaA/psaB protein,
pfam00224,"PK - Pyruvate kinase, barrel domain",
pfam00225,Kinesin - Kinesin motor domain,
pfam00226,DnaJ - DnaJ domain,
pfam00227,Proteasome - Proteasome subunit,
pfam00228,Bowman-Birk_leg - Bowman-Birk serine protease inhibitor family,
pfam00229,TNF - TNF(Tumour Necrosis Factor) family,
pfam00230,MIP - Major intrinsic protein,
pfam00231,ATP-synt - ATP synthase,
pfam00232,Glyco_hydro_1 - Glycosyl hydrolase family 1,
pfam00233,PDEase_I - 3'5'-cyclic nucleotide phosphodiesterase,
pfam00234,Tryp_alpha_amyl - Protease inhibitor/seed storage/LTP family,
pfam00235,Profilin - Profilin,
pfam00236,Hormone_6 - Glycoprotein hormone,
pfam00237,Ribosomal_L22 - Ribosomal protein L22p/L17e,
pfam00238,Ribosomal_L14 - Ribosomal protein L14p/L23e,
pfam00239,"Resolvase - Resolvase, N terminal domain",
pfam00240,ubiquitin - Ubiquitin family,
pfam00241,Cofilin_ADF - Cofilin/tropomyosin-type actin-binding protein,
pfam00242,DNA_pol_viral_N - DNA polymerase (viral) N-terminal domain,
pfam00243,NGF - Nerve growth factor family,
pfam00244,14-3-3 - 14-3-3 protein,
pfam00245,Alk_phosphatase - Alkaline phosphatase,
pfam00246,Peptidase_M14 - Zinc carboxypeptidase,
pfam00248,Aldo_ket_red - Aldo/keto reductase family,
pfam00249,Myb_DNA-binding - Myb-like DNA-binding domain,
pfam00250,Forkhead - Forkhead domain,
pfam00251,Glyco_hydro_32N - Glycosyl hydrolases family 32 N-terminal domain,
pfam00252,Ribosomal_L16 - Ribosomal protein L16p/L10e,
pfam00253,Ribosomal_S14 - Ribosomal protein S14p/S29e,
pfam00254,FKBP_C - FKBP-type peptidyl-prolyl cis-trans isomerase,
pfam00255,GSHPx - Glutathione peroxidase,
pfam00257,Dehydrin - Dehydrin,
pfam00258,Flavodoxin_1 - Flavodoxin,
pfam00260,Protamine_P1 - Protamine P1,
pfam00261,Tropomyosin - Tropomyosin,
pfam00262,Calreticulin - Calreticulin family,
pfam00263,Secretin - Bacterial type II and III secretion system protein,
pfam00264,Tyrosinase - Common central domain of tyrosinase,
pfam00265,TK - Thymidine kinase,
pfam00266,Aminotran_5 - Aminotransferase class-V,
pfam00267,Porin_1 - Gram-negative porin,
pfam00268,"Ribonuc_red_sm - Ribonucleotide reductase, small chain",
pfam00269,"SASP - Small, acid-soluble spore proteins, alpha/beta type",
pfam00270,DEAD - DEAD/DEAH box helicase,
pfam00271,Helicase_C - Helicase conserved C-terminal domain,
pfam00272,Cecropin - Cecropin family,
pfam00273,Serum_albumin - Serum albumin family,
pfam00274,Glycolytic - Fructose-bisphosphate aldolase class-I,
pfam00275,EPSP_synthase - EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),
pfam00276,Ribosomal_L23 - Ribosomal protein L23,
pfam00277,SAA - Serum amyloid A protein,
pfam00278,"Orn_DAP_Arg_deC - Pyridoxal-dependent decarboxylase, C-terminal sheet domain",
pfam00280,potato_inhibit - Potato inhibitor I family,
pfam00281,Ribosomal_L5 - Ribosomal protein L5,
pfam00282,Pyridoxal_deC - Pyridoxal-dependent decarboxylase conserved domain,
pfam00283,"Cytochrom_B559 - Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits",
pfam00284,"Cytochrom_B559a - Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit",
pfam00285,"Citrate_synt - Citrate synthase, C-terminal domain",
pfam00286,Flexi_CP - Viral coat protein,
pfam00287,Na_K-ATPase - Sodium / potassium ATPase beta chain,
pfam00288,GHMP_kinases_N - GHMP kinases N terminal domain,
pfam00289,"Biotin_carb_N - Biotin carboxylase, N-terminal domain",
pfam00290,Trp_syntA - Tryptophan synthase alpha chain,
pfam00291,PALP - Pyridoxal-phosphate dependent enzyme,
pfam00292,PAX - 'Paired box' domain,
pfam00293,NUDIX - NUDIX domain,
pfam00294,PfkB - pfkB family carbohydrate kinase,
pfam00295,Glyco_hydro_28 - Glycosyl hydrolases family 28,
pfam00296,Bac_luciferase - Luciferase-like monooxygenase,
pfam00297,Ribosomal_L3 - Ribosomal protein L3,
pfam00298,"Ribosomal_L11 - Ribosomal protein L11, RNA binding domain",
pfam00299,Squash - Squash family serine protease inhibitor,
pfam00300,His_Phos_1 - Histidine phosphatase superfamily (branch 1),
pfam00301,Rubredoxin - Rubredoxin,
pfam00302,CAT - Chloramphenicol acetyltransferase,
pfam00303,Thymidylat_synt - Thymidylate synthase,
pfam00304,Gamma-thionin - Gamma-thionin family,
pfam00305,Lipoxygenase - Lipoxygenase,
pfam00306,"ATP-synt_ab_C - ATP synthase alpha/beta chain, C terminal domain",
pfam00307,CH - Calponin homology (CH) domain,
pfam00308,Bac_DnaA - Bacterial dnaA protein,
pfam00309,"Sigma54_AID - Sigma-54 factor, Activator interacting domain (AID)",
pfam00310,GATase_2 - Glutamine amidotransferases class-II,
pfam00311,PEPcase - Phosphoenolpyruvate carboxylase,
pfam00312,Ribosomal_S15 - Ribosomal protein S15,
pfam00313,CSD - 'Cold-shock' DNA-binding domain,
pfam00314,Thaumatin - Thaumatin family,
pfam00316,"FBPase - Fructose-1-6-bisphosphatase, N-terminal domain",
pfam00317,"Ribonuc_red_lgN - Ribonucleotide reductase, all-alpha domain",
pfam00318,Ribosomal_S2 - Ribosomal protein S2,
pfam00319,SRF-TF - SRF-type transcription factor (DNA-binding and dimerisation domain),
pfam00320,GATA - GATA zinc finger,
pfam00321,Thionin - Plant thionin,
pfam00322,Endothelin - Endothelin family,
pfam00323,Defensin_1 - Mammalian defensin,
pfam00324,AA_permease - Amino acid permease,
pfam00325,"Crp - Bacterial regulatory proteins, crp family",
pfam00326,Peptidase_S9 - Prolyl oligopeptidase family,
pfam00327,Ribosomal_L30 - Ribosomal protein L30p/L7e,
pfam00328,His_Phos_2 - Histidine phosphatase superfamily (branch 2),
pfam00329,"Complex1_30kDa - Respiratory-chain NADH dehydrogenase, 30 Kd subunit",
pfam00330,Aconitase - Aconitase family (aconitate hydratase),
pfam00331,Glyco_hydro_10 - Glycosyl hydrolase family 10,
pfam00332,Glyco_hydro_17 - Glycosyl hydrolases family 17,
pfam00333,"Ribosomal_S5 - Ribosomal protein S5, N-terminal domain",
pfam00334,NDK - Nucleoside diphosphate kinase,
pfam00335,Tetraspannin - Tetraspanin family,
pfam00336,DNA_pol_viral_C - DNA polymerase (viral) C-terminal domain,
pfam00337,Gal-bind_lectin - Galactoside-binding lectin,
pfam00338,Ribosomal_S10 - Ribosomal protein S10p/S20e,
pfam00339,"Arrestin_N - Arrestin (or S-antigen), N-terminal domain",
pfam00340,IL1 - Interleukin-1 / 18,
pfam00341,PDGF - PDGF/VEGF domain,
pfam00342,PGI - Phosphoglucose isomerase,
pfam00343,Phosphorylase - Carbohydrate phosphorylase,
pfam00344,SecY - SecY translocase,
pfam00345,"PapD_N - Pili and flagellar-assembly chaperone, PapD N-terminal domain",
pfam00346,"Complex1_49kDa - Respiratory-chain NADH dehydrogenase, 49 Kd subunit",
pfam00347,Ribosomal_L6 - Ribosomal protein L6,
pfam00348,polyprenyl_synt - Polyprenyl synthetase,
pfam00349,Hexokinase_1 - Hexokinase,
pfam00350,Dynamin_N - Dynamin family,
pfam00351,Biopterin_H - Biopterin-dependent aromatic amino acid hydroxylase,
pfam00352,"TBP - Transcription factor TFIID (or TATA-binding protein, TBP)",
pfam00353,HemolysinCabind - Haemolysin-type calcium-binding repeat (2 copies),
pfam00354,Pentaxin - Pentaxin family,
pfam00355,Rieske - Rieske [2Fe-2S] domain,
pfam00356,"LacI - Bacterial regulatory proteins, lacI family",
pfam00357,Integrin_alpha - Integrin alpha cytoplasmic region,
pfam00358,"PTS_EIIA_1 - phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1",
pfam00359,"PTS_EIIA_2 - Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",
pfam00360,PHY - Phytochrome region,
pfam00361,Proton_antipo_M - Proton-conducting membrane transporter,
pfam00362,Integrin_beta - Integrin beta chain VWA domain,
pfam00363,Casein - Casein,
pfam00364,Biotin_lipoyl - Biotin-requiring enzyme,
pfam00365,PFK - Phosphofructokinase,
pfam00366,Ribosomal_S17 - Ribosomal protein S17,
pfam00367,"PTS_EIIB - phosphotransferase system, EIIB",
pfam00368,HMG-CoA_red - Hydroxymethylglutaryl-coenzyme A reductase,
pfam00370,"FGGY_N - FGGY family of carbohydrate kinases, N-terminal domain",
pfam00372,"Hemocyanin_M - Hemocyanin, copper containing domain",
pfam00373,FERM_M - FERM central domain,
pfam00374,NiFeSe_Hases - Nickel-dependent hydrogenase,
pfam00375,SDF - Sodium:dicarboxylate symporter family,
pfam00376,MerR - MerR family regulatory protein,
pfam00377,Prion - Prion/Doppel alpha-helical domain,
pfam00378,ECH_1 - Enoyl-CoA hydratase/isomerase,
pfam00379,Chitin_bind_4 - Insect cuticle protein,
pfam00380,Ribosomal_S9 - Ribosomal protein S9/S16,
pfam00381,PTS-HPr - PTS HPr component phosphorylation site,
pfam00382,TFIIB - Transcription factor TFIIB repeat,
pfam00383,dCMP_cyt_deam_1 - Cytidine and deoxycytidylate deaminase zinc-binding region,
pfam00384,Molybdopterin - Molybdopterin oxidoreductase,
pfam00385,Chromo - Chromo (CHRromatin Organisation MOdifier) domain,
pfam00386,C1q - C1q domain,
pfam00387,"PI-PLC-Y - Phosphatidylinositol-specific phospholipase C, Y domain",
pfam00388,"PI-PLC-X - Phosphatidylinositol-specific phospholipase C, X domain",
pfam00389,"2-Hacid_dh - D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",
pfam00390,"malic - Malic enzyme, N-terminal domain",
pfam00391,"PEP-utilizers - PEP-utilising enzyme, mobile domain",
pfam00392,"GntR - Bacterial regulatory proteins, gntR family",
pfam00393,"6PGD - 6-phosphogluconate dehydrogenase, C-terminal domain",
pfam00394,Cu-oxidase - Multicopper oxidase,
pfam00395,SLH - S-layer homology domain,
pfam00396,Granulin - Granulin,
pfam00397,WW - WW domain,
pfam00398,RrnaAD - Ribosomal RNA adenine dimethylase,
pfam00399,PIR - Yeast PIR protein repeat,
pfam00400,"WD40 - WD domain, G-beta repeat",
pfam00401,"ATP-synt_DE - ATP synthase, Delta/Epsilon chain, long alpha-helix domain",
pfam00402,Calponin - Calponin family repeat,
pfam00403,HMA - Heavy-metal-associated domain,
pfam00404,Dockerin_1 - Dockerin type I repeat,
pfam00405,Transferrin - Transferrin,
pfam00406,ADK - Adenylate kinase,
pfam00407,Bet_v_1 - Pathogenesis-related protein Bet v I family,
pfam00408,"PGM_PMM_IV - Phosphoglucomutase/phosphomannomutase, C-terminal domain",
pfam00410,Ribosomal_S8 - Ribosomal protein S8,
pfam00411,Ribosomal_S11 - Ribosomal protein S11,
pfam00412,LIM - LIM domain,
pfam00413,Peptidase_M10 - Matrixin,
pfam00414,MAP1B_neuraxin - Neuraxin and MAP1B repeat,
pfam00415,RCC1 - Regulator of chromosome condensation (RCC1) repeat,
pfam00416,Ribosomal_S13 - Ribosomal protein S13/S18,
pfam00418,"Tubulin-binding - Tau and MAP protein, tubulin-binding repeat",
pfam00419,Fimbrial - Fimbrial protein,
pfam00420,Oxidored_q2 - NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,
pfam00421,PSII - Photosystem II protein,
pfam00423,HN - Haemagglutinin-neuraminidase,
pfam00424,REV - REV protein (anti-repression trans-activator protein),
pfam00425,Chorismate_bind - chorismate binding enzyme,
pfam00426,VP4_haemagglut - Outer Capsid protein VP4 (Hemagglutinin),
pfam00427,PBS_linker_poly - Phycobilisome Linker polypeptide,
pfam00428,Ribosomal_60s - 60s Acidic ribosomal protein,
pfam00429,TLV_coat - ENV polyprotein (coat polyprotein),
pfam00430,ATP-synt_B - ATP synthase B/B' CF(0),
pfam00431,CUB - CUB domain,
pfam00432,Prenyltrans - Prenyltransferase and squalene oxidase repeat,
pfam00433,Pkinase_C - Protein kinase C terminal domain,
pfam00434,VP7 - Glycoprotein VP7,
pfam00435,Spectrin - Spectrin repeat,
pfam00436,SSB - Single-strand binding protein family,
pfam00437,T2SSE - Type II/IV secretion system protein,
pfam00438,"S-AdoMet_synt_N - S-adenosylmethionine synthetase, N-terminal domain",
pfam00439,Bromodomain - Bromodomain,
pfam00440,"TetR_N - Bacterial regulatory proteins, tetR family",
pfam00441,"Acyl-CoA_dh_1 - Acyl-CoA dehydrogenase, C-terminal domain",
pfam00443,UCH - Ubiquitin carboxyl-terminal hydrolase,
pfam00444,Ribosomal_L36 - Ribosomal protein L36,
pfam00445,Ribonuclease_T2 - Ribonuclease T2 family,
pfam00446,GnRH - Gonadotropin-releasing hormone,
pfam00447,HSF_DNA-bind - HSF-type DNA-binding,
pfam00448,"SRP54 - SRP54-type protein, GTPase domain",
pfam00449,"Urease_alpha - Urease alpha-subunit, N-terminal domain",
pfam00450,Peptidase_S10 - Serine carboxypeptidase,
pfam00451,"Toxin_2 - Scorpion short toxin, BmKK2",
pfam00452,"Bcl-2 - Apoptosis regulator proteins, Bcl-2 family",
pfam00453,Ribosomal_L20 - Ribosomal protein L20,
pfam00454,PI3_PI4_kinase - Phosphatidylinositol 3- and 4-kinase,
pfam00455,DeoRC - DeoR C terminal sensor domain,
pfam00456,"Transketolase_N - Transketolase, thiamine diphosphate binding domain",
pfam00457,Glyco_hydro_11 - Glycosyl hydrolases family 11,
pfam00458,WHEP-TRS - WHEP-TRS domain,
pfam00459,Inositol_P - Inositol monophosphatase family,
pfam00460,Flg_bb_rod - Flagella basal body rod protein,
pfam00462,Glutaredoxin - Glutaredoxin,
pfam00463,ICL - Isocitrate lyase family,
pfam00464,SHMT - Serine hydroxymethyltransferase,
pfam00465,Fe-ADH - Iron-containing alcohol dehydrogenase,
pfam00466,Ribosomal_L10 - Ribosomal protein L10,
pfam00467,KOW - KOW motif,
pfam00468,Ribosomal_L34 - Ribosomal protein L34,
pfam00469,"F-protein - Negative factor, (F-Protein) or Nef",
pfam00471,Ribosomal_L33 - Ribosomal protein L33,
pfam00472,RF-1 - RF-1 domain,
pfam00473,CRF - Corticotropin-releasing factor family,
pfam00474,SSF - Sodium:solute symporter family,
pfam00475,IGPD - Imidazoleglycerol-phosphate dehydratase,
pfam00476,DNA_pol_A - DNA polymerase family A,
pfam00477,LEA_5 - Small hydrophilic plant seed protein,
pfam00478,IMPDH - IMP dehydrogenase / GMP reductase domain,
pfam00479,"G6PD_N - Glucose-6-phosphate dehydrogenase, NAD binding domain",
pfam00480,ROK - ROK family,
pfam00481,PP2C - Protein phosphatase 2C,
pfam00482,"T2SSF - Type II secretion system (T2SS), protein F",
pfam00483,NTP_transferase - Nucleotidyl transferase,
pfam00484,Pro_CA - Carbonic anhydrase,
pfam00485,PRK - Phosphoribulokinase / Uridine kinase family,
pfam00486,"Trans_reg_C - Transcriptional regulatory protein, C terminal",
pfam00487,FA_desaturase - Fatty acid desaturase,
